term,codes_pipe_sep
αγγειοπλαστικη υπευθυνης βλαβης,Z95
αγγειοπλαστικης,Z95
αγγειοπλαστικης στην rca,Z95
αγγειοπλαστικων,Z95
αγγειπλαστικη,Z95
αγκυλοποιητικη σπουνδυλιτιδα,M30-M36
αγχωδης διαταραχη,F45
αδαμαντιαδη behcet,M30-M36
αδυναμια,R53
αδυναμια βαδισης,R53
αδυναμια καταβολη,R53
αδυναμια καταβολη δυναμεων,R53
αδυναμιας,R53
αδυναμιας αδυναμια βαδισης,R53
αδυναμιας και καταβολης,R53
αδυναμιας καταβολης,R53
αδυναμιας κατοβολης,R53
αεε,I64
αθηροσκληρωτικη καρδιοπαθεια,I25
αθηρωματικο αγγειο,I25
αθηρωματικος ο lad,I25
αιματεμεσης,K92
αιματουρια,R31
αιματουριας,R31
αιματοχεσιας,K92
αιμοκαθαρση,Z99
αιμοπτυση,R04
αιμορραγια ανωτερου πεπτικου,K92
αιμορραγια πεπτικου,K92
αιμορραγιας πεπτικου,K92
αιμορραγιες ανωτερου πεπτικου,K92
αιμορραγικο αεε,I62
αιμορραγιων πεπτικου,K92
αιμωδια,R20
αιμωδιες,R20
αιμωδιες ανω ακρου απο ωρας,R20
αιμωδιες ανω ακρων,R20
αιμωδιες αρ ανω ακρου,R20
αιμωδιων αρ ανω ακρου,R20
αισθημα αδυναμιας καταβολης,R53
αισθημα αιμωδιων,R20
αισθημα βαρους οπισθοστερνικα,R07
αισθημα βαρους στο επιγαστριο,R10
αισθημα βαρους στο επιγαστριο και στο προσθιο θωρακικο τοιχωμα,R07
αισθημα βαρους στο θωρακα,R07
αισθημα δυσπνοιας,R06
αισθημα δυσφοριας,R07
αισθημα ζαλης,R42
αισθημα παλμων,R00
αισθημα παλμων απο μηνος,R00
αισθημα παλμων διαρκειας,R00
αισθημα προκαρδιου δυσφοριας,R07
αισθημα συσφιγκτικου αλγους,R07
αισθηματος αδυναμιας,R53
αισθηματος βαρους οπισθοστερνικα,R07
αισθηματος βαρους στο προκαρδιο,R07
αισθηματος ζαλης,R42
αισθηματος καταβολης και αδυναμιας,R53
αισθηματος καυσου οπισθοστερνικα,R07
αισθηματος καυσου στο προκαρδιο,R07
αισθηματος παλμων,R00
αισθηματος παλων,R00
αισθηματος προκαρδιας δυσφοριας,R07
αιφνιδιας δυσπνοιας,R06
αιφνιδιο οπισθοστερνικο αλγος,R07
αιφνιδιος θανατος πατερα απο διατατικη μυοκαρδιοπαθεια,Z82
αιφνιδιου αλγους αρ. ωμοπλατιαιας χωρας διαξιφιστικου με αντανακλαση στο θωρακα,R07
ακτικαταστασης αοv και μv,Z95
αλγη ραχης,R07
αλγος,R07
αλγος αριστερου ημιθωρακιου,R07
αλγος δε ημιθωρακιου,R07
αλγος δε υποχονδριου δε ημιθωρακιου,R07
αλγος επιγαστριου,R10
αλγος επιγαστριου με επεκταση στο θωρακα,R10
αλγος θωρακικο,R07
αλγος καυστικου χαρακτηρα στην αρ μασχαλιαια χωρα με επεκταση προς την αρ ωμοπλατη,R07
αλγος οπισθοστερνικα,R07
αλγος ραχης θωρακα,R07
αλγος ραχης και θωρακα,R07
αλγος ραχης με επεκταση στο θωρακα,R07
αλγος ωμων αμφω με αντανακλαση στη μεσοπλατια και στην προκαρδια χωρα,R07
αλγους,R07
αλγους αρ ωμοπλατης,R07
αλγους δε υποχονδριου,R10
αλγους οπισθοστερνικα,R07
αλγους ραχης θωρακα,R07
αλγους στο προσθιο θωρακικο τοιχωμα,R07
αλκοολικη κιρρωση,K70
αλκοολικη μυοκαρδιοπαθεια,I43
αλκοολισμος,Z72
αλλεργικο ασθμα,J45
αμυλοειδωση,E85
αμυλοειδωσης,E85
αμφικοιλιακος βηματοδοτης,Z95
αναδειξη νοσου 3 αγγειων,I25
αναιμια,D50-D64
αναιμια σιδηροπενικη,D50-D64
αναιμια υπο σιδηρο,D50-D64
αναιμια χρονιας νοσου,D50-D64
αναιμιας,D50-D64
ανακοπη,I46
ανακοπη και ανεταξε με ενα κυκλο καρπα,I46
ανακοπη στα τεπ η οποια ανεταχθη με καρπα,I46
ανακοπης,I46
ανακοπης vf και επανηλθε με καρπα και απινιδωση,I46
ανανηψη με πολλαπλα shock,I46
αναπνευστικη ανεπαρκεια,J96
αναπνευστικη ανεπαρκεια τ. ιι,J96
αναπνευστικη ανεπαρκεια τυπου 2,J96
αναπνευστικη ανεπαρκεια τυπου ιι,J96
αναπνευστικη ανεπαρκεια υπερκαπνικου τυπου,J96
αναπνευστικης ανεπαρκειας τυπου ιι,J96
ανασπασεις του st,I21
ανασπαση st,I21|I22
ανασπαση st v1 v3,I21
ανασπαση st ιι ιιι avf,I22
αναταχθεισα ανακοπη,I46
αναταχθησα ανακοπη,I46
αναταχθησας ανακοπης,I46
αναφερομενη as,I35
αναφερομενη αορτοστεφανιαια παρακαμψη,Z95
αναφερομενη θυρεοειδοπαθεια,E00-E07
αναφερομενου επεισοδιου προκαρδιου βαρους,R07
ανεδειξε βατο stent,Z95
ανεπαρκεια αορτικης,I35
ανεπαρκεια αορτικης βαλβιδας,I35
ανεπαρκεια μετρια προς σοβαρη στενωση αορτικης,I35
ανεπαρκεια μιτροειδους,I34
ανεπαρκεια μιτροειδους βαλβιδας,I34
ανεπαρκεια μιτροειδους βαλβιδος,I34
ανεπαρκεια τριγλωχινας,I07
ανεπαρκεια τριγλωχινας βαλβιδας,I07
ανεπαρκεια τριγλωχινος,I07
ανερευθει στο πατωμα της οικειας του,R55
ανευρυσμα αν αορτης,I71
ανευρυσμα ανιουσας αορτης,I71
ανευρυσμα ανιουσας θωρακικης αορτης,I71
ανευρυσμα ανιουσας θωρακικης αορτης λογω διαχωρισμου,I71
ανευρυσμα ανιουσης αορτης,I71
ανευρυσμα αορτης,I71
ανευρυσμα θωρακικης αορτης,I71|I79
ανευρυσμα κ.αορτης,I71
ανευρυσμα κοιλιακης αορτης,I71|I79
ανευρυσμα κορυφης,I25
ανευρυσματικη διαταση ανιουσας αορτης,I71
ανευρυσματοειδη διαταση της κορυφης,I25
ανευρυσματοειδης διαταση ανιουσης αορτης,I71
ανευρυσματος,I71
ανευρυσματος κοιλιακης αορτης,I71
ανθεκτικη υπερταση,I10
ανθεκτικης υπερτασης,I10
ανιουσα αορτη,I71
αντανακλαση στη ραχη,M54
αντικατασταση aov,Z95
αντικατασταση aov και μv,Z95
αντικατασταση aov με βιολογικη,Z95
αντικατασταση av,Z95
αντικατασταση mv xxxx βιολογικη,Z95
αντικατασταση mv βιολογικη,Z95
αντικατασταση mv προ 2 ετων βιοπροσθετικη,Z95
αντικατασταση αοv με μεταλλικη,Z95
αντικατασταση αορτικη βαλβιδας με μεταλλικη,Z95
αντικατασταση αορτικης βαλβιδας,Z95
αντικατασταση αορτικης βαλβιδας βιολογικη,Z95
αντικατασταση αορτικης βαλβιδας βιοπροσθετικη,Z95
αντικατασταση αορτικης βαλβιδας με βιολογικη,Z95
αντικατασταση αορτικης βαλβιδας με βιοπροσθετικη,Z95
αντικατασταση αορτικης με βιολογικη mitroflow 2,Z95
αντικατασταση βιολογικης aov με μεταλλικη,Z95
αντικατασταση βιολογικης αορτικης βαλβιδος,Z95
αντικατασταση γεννητριας,T82|Z95
αντικατασταση γεννητριας βηματοδοτη,T82
αντικατασταση με βιολογικη προ 15ετιας,Z95
αντικατασταση μιτροειδους βαλβιδος με μεταλλικη,Z95
αντικατασταση μιτροειδους με μεταλλικη,Z95
αντικατασταση ολικης αρθροπλαστικης,Z47
αοr,I35
αοs,I35
αοv με ηπια στενωση,I35
αορτικη βαλβιδα εντονη επασβεστωση. σοβαρου βαθμου στενωση,I35
αορτικη βαλβιδα με μεικτου τυπου βλαβη,I35
αορτικη στενωση,I35
αορτικης βαλβιδας με μειωμενη διανοιξη και ευρηματα σοβαρης στενωσης και ηπιας ανεπαρκειας,I35
αορτικης βαλβιδας σοβαρου βαθμου στενωση,I35
αορτικης βαλβιδος με μειωμενη διανοιξη και ευρηματα συμβατα με σοβαρου βαθμου στενωση και μετρια ανεπαρκεια,I35
αορτικης στενωσεως,I35
αορτικης στενωσης,I35
αορτοστεφανιαια παρακαμψη,Z95
απ,I10
απινιδωτη,Z95
απινιδωτης,Z95
απο,J81
αποκλεισμο αριστερου σκελους,I44
αποκλεισμος αριστερου σκελους,I44
αποορυθμιση κα,I50
απορρ.κ α,I50
απορρυθμιση hfpef,I50
απορρυθμιση hfref,I50
απορρυθμιση δκα,I50
απορρυθμιση κ α,I50
απορρυθμιση κα,I50
απορρυθμιση κα hfpef,I50
απορρυθμιση καρδιακης ανεπαρκειας,I50
απορρυθμιση καρδιακης ανεπαρκειας hfref,I50
απορρυθμιση καρδιακης ανεπαρκειας.,I50
απορρυθμισης ισχαιμικης καρδιακης ανεπαρκειας,I50
απορρυθμισης καρδιακης ανεπαρκειας,I50
απορρυθμισης της κ α,I50
απορυθμιση κα,I50
απορυθμιση καρδιακης ανεπαρκειας,I50
απορυθμισης αρτηριακης πιεσης,I10
αποφρακτικη υπερτροφικη μυοκαρδιοπαθεια,I42
αποφραξη lad εγγυς,I21
απωλεια συνειδησης,R55
απωλεια συνειδησης μ,R55
απωλεια συνειδησης.,R55
απωλειας αισθησεων,R55
απωλειας συνειδησης,R55
αρθρικος πονος,M25
αρθροπλαστικη,Z47|Z96
αρθρωδυνιες,M25
αριστερος προσθιος ημιαποκλεισμος,I44
αρρυθμιες,I49
αρρυθμιογονος δυσπλασια rv,I49
αρρυθμιογονος δυσπλασια δεξιας κοιλιας,I42
αρρυθμιογονου δυσπλασιας αριστερας κοιλιας,I42
αρρυθμιογονου δυσπλασιας δεξιας κοιλιας,I42
αρρυθμιστη α,I10
αρρυθμιστη αρτηριακη πιεση,I10
αρτηρακη υπερταση,I10
αρτηριακη υπερταση,I10
αρτηριακη υποταση,I95
αρτηριακης υπερτασης,I10
αρτηριακης υποτασης,I95
αρχομενο οξυ πνευμονικο οιδημα,J81
αρχομενο πνευμονικο οιδημα,J81
αρχομενου πνευμονικου οιδηματος,J81
ασθμα,J45
ασκιτη,R18
ασκιτης,R18
ασκιτικη συλλογη,R18
ασκιτικης συλλογης,R18
ασταθη ς στηθαγχη,I20
ασταθη στηθαγχη,I20
ασταθης στηθαγχη,I20
ασταθης στηθαχγη,I20
ασταθους στηθαγχης,I20
ασυστολιας,I46
ατελες lbbb,I44
ατελες rbbb,I45
ατελους rbbb,I45
ατυπα επεισοδια προκαρδιου αλγους,R07
ατυπα θωρακικα αλγη,R07
ατυπα θωρακικα ενοχληματα,R07
ατυπα προκαρδια αλγη,R07
ατυπα προκαρδια ενοχληματα,R07
ατυπης θωρακικης δυσφοριας,R07
ατυπο θωρακικο αλγος,R07
ατυπο προκαρδιο αλγος,R07
ατυπου θωρακικου αλγους,R07
ατυπου προκαρδιου αλγους,R07
ατυπων επεισοδιων θωρκικου αλγους,R07
ατυπων θωρακικων ενοχληματων,R07
ατυπων θωρακικων συμπτωματων,R07
αυξημενες αρτηριακες πιεσεις,I10
βαλβιδοπαθεια αορτικης βαλβιδος πιθ. στενωση,I35
βαλβιδοπαθειας mv,I05
βαλβιδοπλαστικη mv,Z95
βαρια αναιμια υποχρωμη μικροκυτταρικη,D50-D64
βαρος στο προκαρδιο,R07
βαρυς υποθυρεοειδισμος,E03
βατα stent με αποφραξη 50 περιφερικα του stent στον lad,Z95
βατο stent,Z95
βηματοδοτ,Z95
βηματοδοτη,Z95
βηματοδοτη ddd r,Z95
βηματοδοτη ddr,Z95
βηματοδοτη micra,Z95
βηματοδοτης,Z95
βηματοδοτης dddr,Z95
βηματοδοτης και ηλεκτροδια,Z95
βηματοδοτικος ρυθμος,Z95
βηχα,R05
βηχας,R05
βιολογικη,Z95
βιολογικη av,Z95
βιολογικη βαλβιδα μιτροειδους,Z95
βιολογικη βαλβιδα στη θεση της αορτικης,Z95
βιοπροσθετικη aov,Z95
βιοπροσθετικη βαλβιδα τριγλωχινας,Z95
βιοπροσθετικης τριγλωχινας βαλβιδας,Z95
βλαβες σε δυο αγγεια,I25
βρ.ασθμα,J45
βραδεια κμ,I48
βραδεια κολπικη μαρμαρυγη,I48
βραδυαρρυθμια,R00
βραδυκαρδια,R00
βραδυκαρδιας,R00
βρογχικο ασθμα,J45
βρογχικου ασθματος,J45
βρογχοσπασμος,J44
γαστρεντερικη αιμορραγια,K92
γαστροραγγιας,K92
γαστρορραγια,K92
γενικευμενη αδυναμια,R53
γενικευμενη αιμωδια,R20
γενικευμενης αδυναμιας,R53
γενικευμενου οιδηματος,R60
γνωστο ay,I10
δ 2,E11
δ λ,E78
δε και αρ καθετηριασμος,Y84
δεικατικης πυρετικης κινησης,R50
δεκατικη πυρετικη κινηση,R50
δεκατικης πυρετικης κινησης,R50
δεξια κα,I50
διαβητικης νευροπαθειας,E11
διαβητικο ποδι,E11
διαδερμικη αγγειοπλαστικη,Z95
διαδερμικη αντικατασταση αορτικης βαλβιδας,Z95
διαδερμικη αντικατασταση αορτικης βαλβιδος,Z95
διαδερμικη εμφυτευση αορτικης βαλβιδας,Z95
διαδερμικη παρεμβαση,Z95
διαδερμικης αντικαταστασης αορτικης βαλβιδας,Z95
διαλειποντος θωρακικου αλγους,R07
διαμεση πνευμονοπαθεια,J84
διαπνοητικη,L74|L75
διαστολικη κα,I50
διαστολικη καρδιακη ανεπαρκεια,I50
διαστολικης καρδιακης ανεπαρκειας,I50
διαταση ανιουσης αορτης,I71
διαταση αορτης,I71|I72
διατατικη κ α,I42
διατατικη κα,I42|I50
διατατικη μκδ,I42
διατατικη μυκορδιοπαθεια,I42
διατατικη μυοκαρδιοπαθεια,I42
διατατικης καρδιακης ανεπαρκειας,I42
διατατικης μκπ,I42
διατατικης μυοκαρδιοπαθειας,I42
διατρηση στομαχου,K92
διαχυτη στεφανιαια νοσος,I25
διδυμιας,I49
διδυμιες,I49
διενεργεια αγγειοπλαστικης στον lad,Z95
διενεργεια αρ και δε καθετηριασμου,Y84
διενεργεια διαδερμικης αντικαταστασης αορτικης βαλβιδας,Z95
διενεργεια στεφανιογραφιας,Y84
διενεργηθηκε c a,Y84
διπλοεστιακος βηματοδοτης,Z95
δκα,I50
δλδ,E78
δλπ,E78
δσλ,E78
δυλ μια,E78
δυσλειτουργια βηματοδοτη,T82
δυσλιπιδαιμια,E78
δυσλιπιδαιμια υπερτριγλυκεριδαιμια,E78
δυσλιπιδαιμιας,E78
δυσλιπιδαμια,E78
δυσνποια,R06
δυσπνοια,R06
δυσπνοια κοπωσης,R06
δυσπνοια με χαρακτηρες ορθοπνοιας,R06
δυσπνοια ορθοπνοια,R06
δυσπνοια σ,R06
δυσπνοιας,R06
δυσπνοιας και ορθοπνοιας,R06
δυσπνοιας κοπωσεως,R06
δυσπνοιας κοπωσης,R06
δυσπνοιας ορθοπνοιας,R06
δυσπνοιας στην ελαχιστη και ορθοπνοια,R06
εγκατεστημενο εμφραγμα μυοκαρδιου κατωτερου τοιχωματος,I21
εδαφος υπερτασικης αιχμης,I10
εικονα ανευρυσματος κορυφης,I25
ειχε νοσηλευθει προ ετους για προσθιο stemi,I25
εκπνευστικος συριγμος,R06
εκπτωση συστολικης λειτουργιας ακ,I50
εκπτωσης επιπεδου επικοινωνιας,R41
εκπτωσης επιπεδου συνειδησης,R40
εκπτωσης συστολικης λειτουργιας ακ,I50
εκς,I49
εκτακτες κοιλιακες,I49
εκτακτες κοιλιακες και κολπικες συστολες,I49
εκτακτες κοιλιακες συστολες,I49
εκτακτες κοιλιακες υπο μορφη ζευγων εως και τριπλετων,I49
εκτακτες κολπικες,I49
εκτακτες κολπικες συστολες,I49
εκτακτες μονομορφες κοιλιακες συστολες,I49
εκτακτες υπερκοιλιακες,I49
εκτακτες υπερκοιλιακες συστολες,I49
εκτακτη κοιλιακη,I49
εκτακτη κοιλιακη συστολη,I49
εκτακτοσυστολικη αρρυθμια,I49
εκτακτοσυστολικη κοιλιακη αρρυθμια,I49
εκτακτοσυστολικης αρρυθμιας,I49
εκφορτιση απινιδωτη,Z95
εκφορτιση του απινιδωτη,Z95
ελεγχος βηματοδοτη,Z46
εμ,I21
εμ 2008,I25
εμ xxxx,I25
εμ xxxx xxx xxx,I25
εμ προ 10 ετιας,I25
εμ προ 10ετιας,I25
εμβολη αρ κατω ακρου,I74
εμβυτευση μονιμου μημ,Z95
εμετο,R11
εμετος,R11
εμετου,R11
εμετους,R11
εμετων,R11
εμμενοντος κολποκοιλιακου αποκλεισμου,I44
εμμενουσα κολπικα μαρμαρυγη,I48
εμμενουσα κολπικη μαρμαρυγη,I48
εμμενουσας κολπικης μαρμαρυγης,I48
εμμενουσας στηθαγχης,I20
εμμετος,R11
εμπυρετη,R50
εμπυρετο,R50
εμπυρετου,R50
εμφ. icd,Z95
εμφραγμα κατωτερου και κατωτεροδιαφραγματικου,I21
εμφραγμα κατωτερου τοιχωματος,I21
εμφραγμα μυοκαρδιου,I21
εμφραγμα του μυοκαρδιου,I21
εμφραγματικη περιοχη,I21
εμφραγματος,I21
εμφραγματος κατωτερου οπισθιου τοιχωματος,I21
εμφραγματος μυοκαρδιου,I21
εμφραγματος μυοκαρδιου κατωτερου τοιχωματος,I21
εμφραγματος προσθιου τοιχωματος,I21
εμφυτευθηκε dddr βηματοδοτης,Z95
εμφυτευθηκε απινιδωτης,Z95
εμφυτευση crt d,Z95
εμφυτευση dddr βηματοδοτη,Z95
εμφυτευση icd,Z95
εμφυτευση vvi,Z95
εμφυτευση απινιδωτη,Z95
εμφυτευση απινιδωτικης συσκευης,Z95
εμφυτευση βηματοδοτη,Z95
εμφυτευση μονιμου vvir βηματοδοτη,Z95
εμφυτευση μονιμου βηματοδοτη,Z95
εμφυτευση μονιμου βηματοδοτη vvir,Z95
εμφυτευση του icd,Z95
εμφυτευσιμος απινιδωτης,Z95
εμφυτευσιμου απινιδωτη,Z95
εν τω βαθει φλεβοθρομβωση,I80
ενδοεγκεφαλικη αιμορραγια,I62
ενδοκαρδιτιδα,I39
ενδοκαρδιτιδα τριγλωχινας και καλωδιων βηματοδοτη,I39
ενταξη σε τν,Z99
ενταξης του στον τν,Z99
ενταχθηκε μονιμα στο νεφρο,Z99
εντονα οιδηματα κατω ακρων,R60
εντονη εκτακτοσυστολικη δραστηριοτητα,I49
εξαντληση γεννητριας,T82
εξαντλησης της γεννητριας του βηματοδοτη,T82
εξωνεφρικης καθαρσης,Z99
εξωνοσοκομειακη ανακοπη ηλεκτρικα αναταχθεισα,I46
εξωτερικη βηματοδοτηση,Z95
επαναστενωση εντος του stent,Z95
επανατοποθετηθηκε προσωρινος βηματοδοτης,Z95
επασβεστωση αορτικης βαλβιδας με καλη διανοιξη και ηπια στενωση,I35
επασβεστωση αορτικης βαλβιδας με μειωμενη διανοιξη και ευρηματα μετριας προς σοβαρης στενωσης,I35
επεισοδια αισθηματος παλμων,R00
επεισοδια αλγους αριστερου βραχιονα ωμου και θωρακα,R07
επεισοδια θωρακικου αλγους,R07
