code,greek_description
R53,Αδιαθεσία και κόπωση
R55,Συγκοπή και κατάρρευση
R57,Καταπληξία μη ταξινομούμενη αλλού
R60,Οίδημα μη ταξινομούμενο αλλού
R61,Υπεριδρωσία
T82,Επιπλοκές καρδιακών και αγγειακών προσθετικών συσκευών και μοσχευμάτων
T83,Επιπλοκές ουρογεννητικών προσθετικών συσκευών και μοσχευμάτων
T84,Επιπλοκές εσωτερικών ορθοπεδικών προσθετικών συσκευών και μοσχευμάτων
T88,Άλλες επιπλοκές χειρουργικής και ιατρικής φροντίδας
Y83,Χειρουργική επέμβαση ως αιτία ανώμαλης αντίδρασης ή επιπλοκής
Y84,Άλλες ιατρικές διαδικασίες ως αιτία ανώμαλης αντίδρασης ή επιπλοκής
Z46,Τοποθέτηση και ρύθμιση άλλων συσκευών
Z47,Άλλη ορθοπεδική παρακολούθηση
Z72,Προβλήματα που σχετίζονται με τον τρόπο ζωής
Z82,Οικογενειακό ιστορικό αναπηριών και χρόνιων νοσημάτων
Z95,Παρουσία καρδιαγγειακών εμφυτευμάτων και μοσχευμάτων
Z96,Παρουσία άλλων λειτουργικών εμφυτευμάτων
Z99,Εξάρτηση από μηχανήματα και συσκευές υποστήριξης ζωής
